office_name,description
SASO Office,Student Affairs and Services Office
Accounting Office,Handles all financial transactions and student billing
Registrar Office,Manages student records and academic documents
Library,Provides access to academic resources and learning materials
Guidance Office,Offers counseling and student support services
IT Office,Handles technical support and system maintenance
Human Resources Office,Manages faculty and staff records and concerns
Medical and Dental Office,Provides basic health services to students and staff
Research and Development Office,Supports academic research initiatives and publications
Admission Office,Handles student enrollment and admission processes
